ID	artist	origin	career status	gender	first album (year)	studio albums (count)	year of birth	age (years)	age at first album (years)	start of career (year)	end of career (year)	in business (years)	in business at first album (years)
A0	Rihanna	Barbados	active	female	2005	7	1988	26	17	2003		11	2
A1	Britney Spears	US	active	female	1999	8	1981	33	18	1992		22	7
A2	Madonna	US	active	female	1983	12	1958	56	25	1979		35	4
A3	Whitney Houston	US	inactive	female	1985	7	1963	49	22	1977	2012	35	8
A4	Michael Jackson	US	inactive	male	1972	10	1958	51	14	1968	2009	41	4
A5	Eminem	US	active	male	1996	8	1972	42	24	1990		24	6
A6	Elton John	UK	active	male	1969	33	1947	67	22	1964		50	5
A7	Elvis Presley	US	inactive	male	1956	25	1935	42	21	1953	1977	24	3
A8	The Beatles	UK	inactive	group	1963	12				1960	1970	10	3
A9	U2	Ireland	active	group	1980	12				1976		38	4
A10	The Black Eyed Peas	US	active	group	1998	6				1995		19	3
A11	ABBA	Sweden	inactive	group	1973	8				1972	1982	10	1
